storeName,reviewerUsername,ratingDate,reviewHeader,reviewText,rating
Skagen Fiskerestaurant Illum Rooftop,JasonFJ,"September 27, 2020",Good food and service,"This restaurant is definitely worth a visit, and we have been numerous tim ",4
Skagen Fiskerestaurant Illum Rooftop,mikkor849,"September 19, 2020",Food is fantastic but the service...,Is very slow and lacks of attention. Oyster selections are beautiful and you can also get an affordable caviar tasting menu.,4
Skagen Fiskerestaurant Illum Rooftop,BusySteph,"March 9, 2020",Great food,"Few days sightseeing from the UK. Fancied fish. Lovely rooftop area with a few restaurants. We chose Skagen and wasn’t disappointed. I had flounder which was lovely with lashings of prawns. Hubby had fish and chips but it was a couple of different types of fish deep fried with lovely chips and sauces. I had baked marzipan for pudding, again lovely and hubby had chocolate cheesecake which was enormous and lovely too. Great, quick service. Not cheap but I’m worth it! ",5
Skagen Fiskerestaurant Illum Rooftop,Vizzage,"January 30, 2020",Wow! Friendly and fishy!,"On an evening in Copenhagen wondering about looking for somewhere to eat, I asked someone where’s good, and was pointed in the direction of this restaurant, so I gave it a go - and it’s amazing. I have literally just eaten the nicest fried plaice I’ve ever had, washed down with two lovely glasses of claret. And the manager / owner came up and asked me how everything was and told me there was a band playing later, and, loving music I said I’d definitely stay for that, so she organised me another glass of wine - on the house! This place is really bloody lovely - stylish yet comfy, full yet somehow you feel secluded and well-catered for, buzzing yet relaxing. I think I’ve found a place I’m going to return to every time I come to Copenhagen! Oh, and the staff were all really brilliant too - thanks to the woman who explained about all the fish options!! ",5
Skagen Fiskerestaurant Illum Rooftop,Leonor P,"January 2, 2020",Lovely fresh fish and wonderful cocktails,Skagen Restaurants finds its place on the Illum Mall rooft ,4
Skagen Fiskerestaurant Illum Rooftop,Conway S,"December 16, 2019",great place for lunch,We chose this place for lunch on a busy saturday at Christmas.We chose fish and chips which were just so tasty with 3 types of fish. Only downside was lack of vinegar but definitely worth a visit,5
Skagen Fiskerestaurant Illum Rooftop,Henry-Tuur,"November 15, 2019",Very nice moules frites and a nice Carlsberg 1883 beer: I was happy here!,"Yes, in Illum Warehouse you have many different taste restaurants at the Rooft ",4
Skagen Fiskerestaurant Illum Rooftop,albedalcorso,"September 27, 2019",Aperitif with a view!,"We had a nice aperitif on the rooftop before dinner, with a couple of glasses of cava and some smoked salmon :) The only side note is about the price that was a bit expensive. But that’s for the very central location. Anyway, a good experience!",4
Skagen Fiskerestaurant Illum Rooftop,Chx89,"August 20, 2019",Ok food. Nice service. ,Not the best value for money. The food was ok - but not quite gourmet. The service was nice and relatively fast. Sort of a tourist trap.,3
Skagen Fiskerestaurant Illum Rooftop,stephaniealicer,"August 7, 2019",Good food nice atmosphere ,"I’ve been here several times (latest in July) The food is really good but the service is unfortunately quite slow. 
Enjoy a nice glass of rosé while waiting for one of the confused waiters.",3
Skagen Fiskerestaurant Illum Rooftop,Tomberra,"July 29, 2019",Old open sandwichens ,"We were off from Fishmarket as the food was lousy - raw - and settled for an open sandwich with roast beef.
It was old made 9 hours earlier!!

What has happened in one of our favorite food countries?

So lousy this time.",1
Skagen Fiskerestaurant Illum Rooftop,Kirsten M,"June 17, 2019",Expected much more,I went to Skagen on the recommendation of my friends. First I tried to order the seafood platter but the restaurant was out of mussels (please note it was on a Monday evening). They mixed my order for which I got a beer for free. Then I ordered rib eye and it was one of the worst experiences that I had with meat. Not recommended. ,2
Skagen Fiskerestaurant Illum Rooftop,Alexus1976,"June 14, 2019", Skagen is not good,"The place is terrible. Sitting is very tight, it means very noisy. And if you a non-smoker you will be breathing with cigarette smoke coming from neighboring tables. Food is terrible for a specialized seafood restaurant. I ordered prawns as a starter and they were very small with a taste of boiled glue. My wife ordered scallop as a starter and it was not good at all. Two microscopic pieces of scallop on the plate surrounded with peas and fresh cauliflower. I ordered a bottle of still water, instead they brought 2 glasses of water without a bottle. I ordered Sauvignon blan and they served Pinot blan. ",1
Skagen Fiskerestaurant Illum Rooftop,Saberejser,"June 11, 2019",Summer fish,"Wau, what an experience. In the company of old friends, sitting outside on the rooftop balcony being served fresh fish with same day's dug up Danish potatoes, all so very tasty and enjoyed with the nicest white vine. What more to ask for, this is what a real Danish summer night is all about.",4
Skagen Fiskerestaurant Illum Rooftop,maddyk604,"May 2, 2019",the worst customer service i have EVER experienced," i just went to this “restaurant” with a friend because i was really craving mussels. when we sat down we were rudely told to sit ar the couches instead of a table because it was farther away from them. my friend and i had to go up to the counter to order because the waiters were too lazy to come to us. when we ordered our food, i ordered a double gin and tonic. this is the drink i always have so i am very familiar with it and how it should taste. i could hardly taste the gin in a “double” and went to the counter to ask if i could have another single in it because i could not taste hardly any alcohol. he manager (woman with glasses and brown hair) was extremely rude to me and said if i wanted more i should order another drink. i told her that the drink was expensive and did not want to order another drink when the original was not made properly. this business clearly does not understand customer service 101. always make the customer happy. she was very curt and rude to me and i will NEVER be going back here and I hope that people who read this don’t either. i’m completely disappointed and enraged with the amount of money i spent on a subpar meal and basically just tonic, no gin and was treated like crap. ",2
Skagen Fiskerestaurant Illum Rooftop,friis76,"March 9, 2019",Not reccommendable,When we arrived we stood for at least 5 minutes waiting to be seated while the waiters spoke to each other at the bar. We ordered soup and was promised bread on the side. We never received the bread even though we asked for it several times. The waiters were not very attentive and in general we did not have an especially good experience.,1
Skagen Fiskerestaurant Illum Rooftop,hamimmi11,"March 3, 2019",Open-faced sandwiches ,Open-faced sandwiches are associated with Danish cuisin ,4
Skagen Fiskerestaurant Illum Rooftop,Ljiljana V,"February 15, 2019",Lovely food and perfect service,The food here is not the cheapest - it is costly but not over the top. I had a lovely white fish (recommended on the day) with beet vegetables. The views from the restaurant are splendid and service here was amazing (having said that it was not busy).,5
Skagen Fiskerestaurant Illum Rooftop,Lvicicevic856,"February 8, 2019",Love this restaurant ( and everything else in this city for that matter),"Yet again I had lovely lunch here. I had amazing fish meal, lovely glass of vine, coffee and of course great service. It’s incredible as it is in your he roof terrace of Illum department store. Will definitely come here for lunch again ( this is my third time here).",5
Skagen Fiskerestaurant Illum Rooftop,Phayao13,"January 8, 2019","Stylishrestaurant environment which, however, did not deliver today","Nothing wrong with the food, but understaffed waiting staff.A gigantic dining room with associated roof terrace serving makes it impossible too offer good service with 3. Visibel serving staff.Then one cannot help but be annoyed at being charged for a glass of tap water.",3
Skagen Fiskerestaurant Illum Rooftop,foryouforme,"December 22, 2018",Mussels!,We visited the restaurant twice. We tried Fish and Chips and mussels during our first visit. We also had lobster bisque. We loved the mussels and had it a second time during our subsequent visit. The service was okay. The first time we visited was during the non-peak hours so it was not packed. We went during dinner time the second time and service was slower. It is rather costly but the food was really fresh and tasty. We also enjoyed the alfresco dining. The view would be splendid if not for winter.,5
Skagen Fiskerestaurant Illum Rooftop,jphansen81,"December 20, 2018",Best fish & chips,I can highly recommend the Skagen style fish and chips - it’s incredible! A combo of different fish and a little lobster thrown in for good measure; delicious crispy chips and amazing garlic and chili aioli - yum!,5
Skagen Fiskerestaurant Illum Rooftop,m0rten89,"November 19, 2018",Nice view,It is a nice place to be for a romantic dinner. You get the nice view and good food. It is pricey but you enjoy your evening there.,4
Skagen Fiskerestaurant Illum Rooftop,xxxx42,"October 23, 2018",INDIFFERENT STAFF,"I thought this would be a good idea to finish a day of touring. I had a hard time finding someone to seat me (marking isn't very clear) and while I was seated, I found the menu a bit limited. Fish restaurant? What's available? Ask your waiter. She was nowhere to be found. Oh, yes--she was talking with other staff and taking her sweet time to pour two glasses of champagne for other diners. I got no attention at all, and walked out. Place was nearly empty too.",1
Skagen Fiskerestaurant Illum Rooftop,LA276,"September 19, 2018",Roof top restaurant with excellent seafood,This restaurant is on the fifth floor of a department store so seating once you reach that floor can be confusing. They serve Skagen beer in the bottle which was a real treat. We had the fish and chips as well as the lobster bisque. The fish and chips comprised of several types of fish as well as prawns. They were not overcooked and were accompanied with regular mayo and seasoned mayo. The lobster bisque had a free prices of actual lobster and was a wonderful flavor. ,4
Skagen Fiskerestaurant Illum Rooftop,_chadi_antoine_akiki,"September 16, 2018",Danishly divine!,Typically Scandinavian and Danish! We had fresh and delicious fish tartines with an excellent Local stout beer! Great and fast service! lovely set up where one could enjoy his meal in a beautiful and tranquil atmosphere! Cheers!,5
Skagen Fiskerestaurant Illum Rooftop,Tine B,"August 25, 2018","Several dishes turned out to be sold out - all in all, a strange experience","We visited Illum Rooftop on a Saturday evening where we ate at Skagen Fiskeestaurant, which besides fish also had a single steak di ",3
Skagen Fiskerestaurant Illum Rooftop,trikaya-unity,"August 22, 2018","Great meal, lacks services ","Was very impressed with the lunch, had the Canadian lobster as the Danish was finished..really fresh and delishio ",4
Skagen Fiskerestaurant Illum Rooftop,G7867QRlaurab,"August 15, 2018",So Danish! ,We had lunch at the bar inside the foodcourt. It looks very classy and the service is excellent by Danish standards. We has fish and chips and some battered fish with rye bread. There were all sorts if Danish sandwiches with seafood on display. The prices are reasonable. ,5
Skagen Fiskerestaurant Illum Rooftop,Explore88,"August 14, 2018",Excellent Seafood Restaurant.,"This is a great restaurant, the food, the view and the wines all tremendous. The restaurant is on the top floor of the Illum Department store and has an after-hours express elevator to the roof. The restaurant has seating inside and out, the view outside is over the old town of Copenhagen, which is spectacular of a night and da ",5
Skagen Fiskerestaurant Illum Rooftop,Keith K,"August 12, 2018",Excellent seafood restaurant,This restaurant was recommended by our guide on a food tour and did not disappoint. Went with my husband and he had the mussels and I had the fish and chips. Both were wonderful and the roof top restaurant was very comfortable on a hot summer evening.,5
Skagen Fiskerestaurant Illum Rooftop,VonHeberding,"August 8, 2018","Excellent food and service, little difficult to find","This lovely fish restaurant is located inside of a shopping mall, 4th floor. Food hreat, best fush & ships ever, ask also for the catch of the day",5
Skagen Fiskerestaurant Illum Rooftop,NeelKB,"August 1, 2018",Lunch,"Came especially to have the famous fried Plaice but was very disappointed. The plaice was not crispy st all as it is suppose to be. Very disappointed. 
Friendly staff though",3
Skagen Fiskerestaurant Illum Rooftop,Coffeejanet,"July 30, 2018","Excellent seafood, good service, good ambience and bonus live music from the street",Didn't plan to come here. Walked into the dept store and found the ceiling design amazing. Just want to take a closer look then landed on the 5/f where the restaurant locat ,5
